"#
int","id
string? (Primary Key)","...      createdAt                                      ...
date?","bssid                             ...
string?","...   ssid                    ...
string?","mac_address               ...
string?","X
double","...      y
double"
30,b3a7b219-ea11-4968-a7fa-7f44c837370e,45069.04148,94:64:24:a0:df:c2,507,94:64:24:a0:df:a2,0,0
31,80da6968-ffdf-4085-b209-352d558e8972,45069.0997,94:64:24:9f:2b:12,512,94:64:24:9f:ae:c2,0,0
32,ce999183-b63f-4e02-ac3a-69282dbdf2fb,45069.10093,94:64:24:9f:38:12,528,94:64:24:9f:38:12,0,0
33,97f14afc-6b89-4d8b-b3f6-cc3a1cd16601,45069.10171,94:64:24:9f:38:32,529,94:64:24:a0:ab:e2,0,0
34,0e204573-184f-4c47-832d-4d6d783b0567,45069.10302,94:64:24:a0:ab:e2,531,94:64:24:a0:24:82,0,0
35,df96acdb-f9b1-47e0-b5ae-a2cd9748d518,45069.10329,94:64:24:a0:cb:22,532,94:64:24:a0:cb:02,0,0
36,e7329885-1082-4a2f-8127-f4484b3fb255,45071.00021,94:64:24:9f:70:52,510,94:64:24:9f:70:52,0,0
37,e6dbac4b-51f1-4207-8aa2-6e7e94162a06,45071.0023,94:64:24:a0:0b:62,509,94:64:24:a0:0b:62,0,0
38,7fcc32ef-2250-4dd6-af03-b332e4eba2aa,45071.00525,94:64:24:9f:51:62,508,94:64:24:9f:51:62,0,0
39,3e174396-1d95-4657-895f-6a422a98036e,45071.0067,94:64:24:9f:81:c2,507A,94:64:24:9f:81:c2,0,0
40,86282b49-b6b6-445d-949f-d6d745fe6aef,45071.00771,94:64:24:9e:c3:32,506,94:64:24:9e:c3:32,0,0
41,b1cc2b13-1fbb-41f9-bddc-9dcbd81162b0,45071.01052,94:64:24:a0:fe:30,505,94:64:24:a0:fe:30,0,0
42,23d47812-d30a-419f-9c00-611ff1e035b8,45071.01257,94:64:24:9f:14:a0,504,94:64:24:9f:14:a0,0,0
43,9517aa14-e6ec-4be4-a133-e3b3fd810fe3,45071.01416,94:64:24:a0:70:40,503,94:64:24:a0:70:40,0,0
44,b1413ab5-904b-4f0b-96a7-b42951053191,45071.01691,94:64:24:9e:c0:a2,5ev_2,94:64:24:9e:c0:a2,0,0
45,f75c4a16-59a4-4306-8043-e4c3b8a92ad1,45071.01823,94:64:24:a1:09:72,515,94:64:24:a1:09:72,0,0
46,4194d2eb-0f5b-4f1a-a8e3-1292975c5504,45071.02023,94:64:24:9d:fb:f2,513,94:64:24:9d:fb:f2,0,0
47,5c663747-21aa-4fc6-8fd6-ca10f6c092e3,45071.02269,94:64:24:9e:e1:12,511,94:64:24:9e:e1:12,0,0
48,24f0bac0-dd50-4621-84e9-e6fc5d67f994,45071.03458,94:64:24:9f:3c:f2,524,94:64:24:9f:3c:f2,0,0
49,e779d76d-e551-493a-aa30-dd75cdfc2713,45071.03546,94:64:24:a1:71:e2,523,94:64:24:a1:71:e2,0,0
50,4f2191a7-87c0-458d-b885-98e27c2f56b8,45071.03668,94:64:24:a1:07:92,520,94:64:24:a1:07:92,0,0
51,d38f5006-aa03-4b9c-8fe1-5af5b7960f46,45071.03765,94:64:24:9d:e6:f0,519,94:64:24:9d:e6:f0,0,0
52,9e807966-e627-42f7-9da2-58d17178f426,45071.03885,94:64:24:a1:94:f2,518,94:64:24:a1:94:f2,0,0
